Project;File_Path;SATD_Comment;Commit_Removal;Is_Conditional_Change_Related_To_SATD;Category
Gerrit;appjar/src/main/java/com/google/gerrit/server/ssh/Receive.java;// TODO list the new change id;4a4be9efa594dc5c123783543665ddf5f3766fda;YES;ADD NULL_CHECK
Gerrit;gerrit-httpd/src/main/java/com/google/gerrit/httpd/raw/HostPageServlet.java;// If s=0 is used in the URL, the user has explicitly asked us // to not perform selection on the server side, perhaps due to // it incorrectly guessing their user agent. //;4aba6912cc259509b3000034bee3e65ab0416d3c;YES;REMOVE PRE_CONDITION
Hadoop;hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/RMAppManager.java;// TODO: This needs to move to per-AppAttempt;6a2f2551fd13f6d3c932cc9b592e2a23b616a7f5;YES;REMOVE CODE
Hadoop;src/java/org/apache/hadoop/fs/FileContext.java;// TBD not very clear;8991eb7959947735449d300a60aaadb897c11ba2;YES;CHANGE CONDITIONAL EXPRESSION
Hadoop;hadoop-mapreduce/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/launcher/ContainerLaunch.java;// TODO: Get from whitelist.;ab0402bc1def44e3d52eea517f4132c460bd5f87;YES;REMOVE CODE
Hadoop;hadoop-mapreduce-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/fair/AppSchedulable.java;// TODO this should subtract resource just assigned // TEMPROARY;c221204ccaadcf70992d9e858ef71c6f8864ff4e;YES;REMOVE BRANCH
Hadoop;hadoop-mapreduce/hadoop-mr-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TaskImpl.java;//TODO: consider the nextAttemptNumber only if it is not failed/killed ? // calculate the best progress;d6546fc0a444228c9d45b5bef89aeef120f98831;YES;ADD PRE_CONDITION
Hadoop;src/java/org/apache/hadoop/io/SecureIOUtils.java;// Subject to race conditions but this is the best we can do;dc16490ad3f8ff42849647fa6150fa53d771809c;YES;MODIFY CONTROL LOGIC
Hadoop;hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/fair/policies/DominantResourceFairnessPolicy.java;// TODO: For now, set all fair shares to 0, because, in the context of DRF, // it doesn't make sense to set a value for each resource. YARN-736 should // add in a sensible replacement.;e60fbbcc2e6a0d27d588b620817d29d1c70893a5;YES;MODIFY CONTROL LOGIC
Hadoop;hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/shell/Mkdir.java;// TODO: should use createParents to control intermediate dir creation;0bfa7d79d0fc5f127fd785e8ba3bc83dab8df991;YES;ADD CONTROL LOGIC
Hadoop;hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/FileContext.java;/* * Resolve a relative path passed from the user. * * Relative paths are resolved against the current working directory * (e.g. "foo/bar" becomes "/<workingDir>/foo/bar"). * Fully-qualified URIs (e.g. "hdfs://nn:p/foo/bar") and slash-relative paths * ("/foo/bar") are returned unchanged. * * Additionally, we fix malformed URIs that specify a scheme but not an * authority (e.g. "hdfs:///foo/bar"). Per RFC 2395, we remove the scheme * if it matches the default FS, and let the default FS add in the default * scheme and authority later (see {@link #AbstractFileSystem#checkPath}). * * Applications that use FileContext should use #makeQualified() since * they really want a fully-qualified URI. * Hence this method is not called makeAbsolute() and * has been deliberately declared private. */;0e9f61addc67e598cfcde0e9c537954ef00f311e;NO;
Hadoop;hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/FSImageFormat.java;// reset INodeId. TODO: remove this after inodeId is persisted in fsimage;19201622be1db8e166d1cc0dd7e62af4702d2784;NO;
Hadoop;src/java/org/apache/hadoop/fs/shell/CopyCommands.java;// TODO: this really should be a -nl option;1e0c51c66e107a79b43c16dc1808168636626a3b;YES;CHANGE CONDITIONAL EXPRESSION
Hadoop;mapreduce/src/java/org/apache/hadoop/mapreduce/lib/input/NLineInputFormat.java;// NLineInputFormat uses LineRecordReader, which always reads // (and consumes) at least one character out of its upper split // boundary. So to make sure that each mapper gets N lines, we // move back the upper split limits of each split // by one character here.;1f40b8b4e8ce8c4876c1b57012cbd12332d0c096;YES;REMOVE PRE_CONDITION
Hadoop;hdfs/src/java/org/apache/hadoop/hdfs/server/namenode/FSImageFormat.java;/* * TODO we need to change format of the image file * it should not contain version and namespace fields */;64641c28b5ea8538033060452b0c45b7f2eeb60c;YES;REMOVE PRE_CONDITION
Log4J;src/java/org/apache/log4j/chainsaw/XMLFileHandler.java;// hack - but only thing I care about;3b8592f75e673c39e84fd96ed991976a76234740;YES;MODIFY CONTROL LOGIC
Log4J;src/java/org/apache/log4j/FileAppender.java;// FIXME (remove qwIsOurs);ebc274ee0733441ed2acb2a401c059020e7fe1b3;YES;CHANGE CONDITIONAL EXPRESSION
Log4J;src/java/org/apache/log4j/rolling/SlidingWindowRollingPolicy.java;// TODO: compress the currently active file (minIndex) into minIndex+1 //Util.rename( //fileNamePattern.convert(minIndex), //fileNamePattern.convert(minIndex + 1)),;579d6f525526f317fa3cccd4bf8cbf11e8023361;NO;
Log4J;src/java/org/apache/log4j/chainsaw/ChainsawCyclicBufferTableModel.java;// TODO change when filtering refactor done.;bffbaa46fd83985467185561669576bcf600f501;YES;REMOVE NULL_CHECK
Log4J;src/java/org/apache/log4j/AppenderSkeleton.java;// FIXME: We should not flood other appenders but at the same time // should output something meaningful (only once though). // Logging not allowed: //getLogger().error( // "Attempted to append to closed appender named [{}].", name),;7db3e1f0e0bb4c4b77e638df7580b4b8377aeb4a;YES;MODIFY CONTROL LOGIC
