Project;File_Path;SATD_Comment;Commit_Removal;Change_Type
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/interceptors/MtomOutInterceptor.java;// TODO: make this streamable. This is one of my pet // peeves in JAXB RI as well, so if you fix this, submit the  // code to the JAXB RI as well (see RuntimeBuiltinLeafInfoImpl)! - DD;2350e988266fe6c93784b4eb7ff411b4919be2a4;Class Removal
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/interceptors/MtomOutInterceptor.java;// We should probably come up with another property for this;2350e988266fe6c93784b4eb7ff411b4919be2a4;Class Removal
Camel;camel-core/src/main/java/org/apache/camel/processor/SendAsyncProcessor.java;// TODO: Wonder if we can use take instead of poll with timeout?;23b480ea6b9f2a9355bc5ced2fbeef863179d959;Method Unchanged
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/transport/CamelDestination.java;// TODO: Is it okay just to log severe errors such as this?;24e8d0e32362a13bd78473bd14b227363711df07;Method Changed
Camel;camel-core/src/test/java/org/apache/camel/processor/async/AsyncEndpointTryCatchFinallyTest.java;// TODO: try catch finally need to support async routing engine;25a4392e057e5986955ae5b41c82e04047e56bb4;Method Changed
Camel;components/camel-spring/src/test/java/org/apache/camel/component/bean/BeanRouteTest.java;// TODO why zero?;26057da93dbdb64d9d5a1a06c52764f6a8ef4232;Method Unchanged
Camel;camel-core/src/main/java/org/apache/camel/impl/converter/DefaultTypeConverter.java;// TODO look at constructors of toType?;262c2d742c78d55d672e48db6f12af43626dc71b;Method Changed
Camel;camel-core/src/main/java/org/apache/camel/impl/converter/DefaultTypeConverter.java;// TODO can we try walking the inheritance-tree for the element types?;262c2d742c78d55d672e48db6f12af43626dc71b;Method Changed
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfClientCallback.java;// TODO: callback should be in finally to ensure its invoked;26c9c88c2f5236526b5ca9c1033cf10b8757d6c0;Method Changed
Camel;components/camel-cxf/src/test/java/org/apache/camel/component/cxf/CXFWsdlOnlyTest.java;// TODO: camel-cxf invokes async callback 2 times, there is a problem with this kind of using CXF;26c9c88c2f5236526b5ca9c1033cf10b8757d6c0;Method Changed
Camel;components/camel-websocket/src/main/java/org/apache/camel/component/websocket/WebsocketEndpoint.java;// TODO: init globalStore;26fde470fd08a3963461015acc941af9000cbb87;Method Changed
Camel;components/camel-websocket/src/main/java/org/apache/camel/component/websocket/WebsocketComponentServlet.java;// TODO: why do we grab the default servlet?;26fde470fd08a3963461015acc941af9000cbb87;Method Removal
Camel;components/camel-websocket/src/main/java/org/apache/camel/component/websocket/WebsocketEndpoint.java;// TODO --> implement store factory;26fde470fd08a3963461015acc941af9000cbb87;Method Unchanged
Camel;camel-spring/src/main/java/org/apache/camel/spring/CamelBeanDefinitionParser.java;// TODO: we could support arrays one day soon.;27102fc06acfdacef219c79f7b9dd89fe29a08bb;Method Changed
Camel;components/camel-cxf/src/main/java/org/apache/camel/component/cxf/interceptors/SoapMessageOutInterceptor.java;//TODO Moving Parts from Header to Payload. //For e.g Payload ROuting from SOAP11 <-> SOAP12;273cdbe2a134a53a4fee18e74fc403abb8729d3d;Method Changed
Camel;tooling/archetypes/camel-router/src/main/resources/archetype-resources/src/main/java/MyRouteBuilder.java;// TODO create Camel routes here.;275ebaffacd94f8de4c6f0259e0a9973d6240026;Method Unchanged
Camel;components/camel-http/src/main/java/org/apache/camel/component/http/DefaultHttpBinding.java;// TODO: Use a buffer to write faster instead of looping one char at a time;2769e1506a56af6944ab1bb0c2a3118b815a0c09;Method Changed
Camel;components/camel-atom/src/main/java/org/apache/camel/component/atom/UpdatedDateFilter.java;// TODO is this valid?;27df8b19f0c3eb893c17a61c4eb36ce71383da47;Method Removal
Camel;components/camel-atom/src/main/java/org/apache/camel/component/atom/AtomProducer.java;// TODO categories, authors etc;27df8b19f0c3eb893c17a61c4eb36ce71383da47;Method Removal
Camel;camel-core/src/main/java/org/apache/camel/util/IntrospectionSupport.java;// TODO: Why must the found property be convertable to String?;27ee26fed602712e7194014e37940ac875826461;Method Changed
Camel;components/camel-uface/src/main/java/org/apache/camel/component.uface/swing/Main.java;// TODO hack!;28c00347e461d9daf3afd165c889aef9763a88ec;Method Changed
Camel;camel-core/src/test/java/org/apache/camel/processor/Endpoint2MustBeStartedBeforeSendProcessorTest.java;// FIXME: another endpoint that works without a Component;28e045dea038c566dcf02499a64fd0b75adc902b;Method Unchanged
Camel;camel-core/src/main/java/org/apache/camel/processor/interceptor/BacklogDebugger.java;// TODO: should not start debugger as its old-schoold tracer depedent //debugger.start(),;292544445819f26ebbe90afa8140e12a66dea214;Method Changed
